fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
31,"13,1",10,none,1Ti_substitution,0.09233455826037018,1.0,0.21263601284313755,0.6913293798161527
19,"7,5",10,none,1Ti_surface,0.04300602330612703,1.0,0.149444589898306,0.3206079224173815
41,"13,2",10,none,1Ti_surface,0.018906849790700012,1.0,0.09180908074651159,0.16789356753430582
37,"13,2",20,none,none,0.03363499615533744,1.0,0.15304308986696358,0.29626661222873674
13,"7,5",13,none,none,0.04871646366845705,1.0,0.11003805260800799,0.1817827099018253
3,"6,6",15,none,none,0.5686453736619919,1.0,0.25950717983522653,1.0
27,"13,1",10,SO3H,none,0.0652520660436624,1.0,0.1888814511990261,0.5651836264030607
15,"7,5",20,none,none,0.018546608606165183,1.0,0.09411884992364224,0.120167821119044
33,"13,1",10,none,2Ti_substitution,0.07767996125435793,1.0,0.20831149465310558,0.6295646098412871
19,"7,5",10,none,1Ti_surface,0.03879731911831315,1.0,0.149744564163876,0.31823705914619355
22,"7,5",10,none,2Ti_substitution,0.08478273422062986,1.0,0.1992093515217821,0.6366707347842827
39,"13,2",10,C=O,none,0.057748279227988836,1.0,0.19282218452789485,0.494985562718981
24,"13,1",13,none,none,0.05027448242764085,1.0,0.1761922111131668,0.39989121311258896
27,"13,1",10,SO3H,none,0.07202582343409411,1.0,0.19948529473514087,0.5907810846663689
6,"6,6",10,C=O,none,0.05082139628300617,1.0,0.09181203522955368,0.19423701979923635
10,"6,6",10,none,2Ti_surface,0.022081270039553232,1.0,0.11925960107350701,0.2001846732422351
20,"7,5",10,none,1Ti_substitution,0.05524286272282441,1.0,0.16300767579047787,0.4870276423303563
22,"7,5",10,none,2Ti_substitution,0.09217792670447392,1.0,0.22150928444552984,0.7289354561711909
10,"6,6",10,none,2Ti_surface,0.021909417227275803,1.0,0.11937924293587776,0.19987782503836965
20,"7,5",10,none,1Ti_substitution,0.059874718118858763,1.0,0.17646789843522553,0.5306027927017234
41,"13,2",10,none,1Ti_surface,0.0189992638528933,1.0,0.0920531985866381,0.16875574419999306
33,"13,1",10,none,2Ti_substitution,0.060107507514609346,1.0,0.1916240034506537,0.5033952256645453
27,"13,1",10,SO3H,none,0.06455235035795827,1.0,0.18464917710959045,0.5126483576471454
17,"7,5",10,C=O,none,0.07662349421118922,1.0,0.09135634667865823,0.2124312010103601
42,"13,2",10,none,1Ti_substitution,0.027969182399599255,1.0,0.09924816440478774,0.2338150862828444
16,"7,5",10,SO3H,none,0.03441512619285794,1.0,0.10496468660450528,0.22113619978836682
26,"13,1",20,none,none,0.0334044293720799,1.0,0.15420507078597262,0.29791075576761283
41,"13,2",10,none,1Ti_surface,0.019371043338289807,1.0,0.09088490090219775,0.16996510722979624
19,"7,5",10,none,1Ti_surface,0.04070187250817643,1.0,0.1508386115541595,0.31757288548031143
18,"7,5",10,NH2,none,0.01096323129612592,1.0,0.08831859583010278,0.09870210825172919
3,"6,6",15,none,none,0.6247197522667137,1.0,0.2486224311669817,1.0
21,"7,5",10,none,2Ti_surface,0.024286053970099437,1.0,0.1236683502636635,0.21335324941393988
11,"6,6",10,none,2Ti_substitution,0.08864749213256698,1.0,0.23340028047303193,0.7552911931620389
13,"7,5",13,none,none,0.035853238376355887,1.0,0.1110366226568716,0.16870717467644322
28,"13,1",10,C=O,none,0.056066918966447034,1.0,0.19015034857290547,0.46936613266495436
28,"13,1",10,C=O,none,0.057597237065774486,1.0,0.19343489129310526,0.4796741982037574
25,"13,1",15,none,none,0.04046748940852636,1.0,0.168635213132236,0.35608397136627534
20,"7,5",10,none,1Ti_substitution,0.0559878026796246,1.0,0.163709742587755,0.48999242923406255
6,"6,6",10,C=O,none,0.03798742356813108,1.0,0.09330039086695696,0.18275222377473413
4,"6,6",20,none,none,0.681081555114042,1.0,0.21883494583462518,1.0
28,"13,1",10,C=O,none,0.057754249951651626,1.0,0.19372178459955022,0.48059625825105157
2,"6,6",13,none,none,0.6532006151315152,1.0,0.2618306371950165,1.0
27,"13,1",10,SO3H,none,0.06169410257441674,1.0,0.1852312369523884,0.4910098317048866
6,"6,6",10,C=O,none,0.07974146405751843,1.0,0.08945373655648618,0.21736089524507474
39,"13,2",10,C=O,none,0.059304844358161864,1.0,0.1936688198080399,0.5128020605599779
10,"6,6",10,none,2Ti_surface,0.02240328289924916,1.0,0.11864790118075424,0.19896990201468842
8,"6,6",10,none,1Ti_surface,0.014117092671459974,1.0,0.08564795922710908,0.10541802300250248
11,"6,6",10,none,2Ti_substitution,0.094808523056596,1.0,0.24013851032517,0.7820114746750939
10,"6,6",10,none,2Ti_surface,0.021663833218749286,1.0,0.1195639771889591,0.1996357694604753
15,"7,5",20,none,none,0.018736980077235208,1.0,0.09409242704668012,0.12005204466383311
40,"13,2",10,NH2,none,0.02135808248130136,1.0,0.09053706640788825,0.18637922323233463
31,"13,1",10,none,1Ti_substitution,0.10232913277968754,1.0,0.2303534527021591,0.7743657540031347
29,"13,1",10,NH2,none,0.025207922959165085,1.0,0.09910699418318666,0.21431270300977526
39,"13,2",10,C=O,none,0.05903794386177729,1.0,0.1951407436415295,0.5080973172369092
17,"7,5",10,C=O,none,0.07433725412193976,1.0,0.09118433969885202,0.20943866607056405
30,"13,1",10,none,1Ti_surface,0.02160701239893485,1.0,0.09412168765104603,0.1918211740229868
36,"13,2",15,none,none,0.04295509855336175,1.0,0.16856403167454442,0.3528921949740157
