File ID,Temperature (K),G,Pressure (bar),theta
20,298.15,-0.055936,5,0.977831
20,400,-0.053357,1,0.824627
20,400,-0.053357,2,0.903886
20,400,-0.053357,3,0.933803
20,400,-0.053357,4,0.949517
20,400,-0.053357,5,0.959201
20,500,-0.050937,1,0.765351
20,500,-0.050937,2,0.867081
20,500,-0.050937,3,0.907279
20,500,-0.050937,4,0.928809
20,500,-0.050937,5,0.942225
20,600,-0.048605,1,0.71912
20,600,-0.048605,2,0.836614
20,600,-0.048605,3,0.884802
20,600,-0.048605,4,0.911039
20,600,-0.048605,5,0.927542
20,700,-0.046348,1,0.683171
20,700,-0.046348,2,0.811766
20,700,-0.046348,3,0.86611
20,700,-0.046348,4,0.896105
20,700,-0.046348,5,0.91512
21,77,0.000617,1,0.476769
21,77,0.000617,2,0.645692
21,77,0.000617,3,0.732162
21,77,0.000617,4,0.784706
21,77,0.000617,5,0.820015
21,100,0.001259,1,0.463538
21,100,0.001259,2,0.633449
21,100,0.001259,3,0.721619
21,100,0.001259,4,0.775597
21,100,0.001259,5,0.812042
21,273,0.005985,1,0.436737
21,273,0.005985,2,0.607957
21,273,0.005985,3,0.699348
21,273,0.005985,4,0.756185
21,273,0.005985,5,0.794949
21,298.15,0.00664,1,0.435745
21,298.15,0.00664,2,0.606995
21,298.15,0.00664,3,0.698499
21,298.15,0.00664,4,0.755441
21,298.15,0.00664,5,0.794291
21,400,0.009208,1,0.433608
21,400,0.009208,2,0.604918
21,400,0.009208,3,0.696665
21,400,0.009208,4,0.753831
21,400,0.009208,5,0.792867
21,500,0.011622,1,0.432969
21,500,0.011622,2,0.604297
21,500,0.011622,3,0.696115
21,500,0.011622,4,0.753348
21,500,0.011622,5,0.792439
21,600,0.013948,1,0.432962
21,600,0.013948,2,0.604289
21,600,0.013948,3,0.696109
21,600,0.013948,4,0.753342
21,600,0.013948,5,0.792434
21,700,0.0162,1,0.433258
21,700,0.0162,2,0.604578
21,700,0.0162,3,0.696363
21,700,0.0162,4,0.753566
21,700,0.0162,5,0.792632
22,77,0.086168,1,2.00E-06
22,77,0.086168,2,5.00E-06
22,77,0.086168,3,7.00E-06
22,77,0.086168,4,9.00E-06
22,77,0.086168,5,1.10E-05
22,100,0.086816,1,4.20E-05
22,100,0.086816,2,8.40E-05
22,100,0.086816,3,0.000126
22,100,0.086816,4,0.000168
22,100,0.086816,5,0.000211
22,273,0.091695,1,0.019882
22,273,0.091695,2,0.038989
